"","description","mean","sd"
"item354","servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles",3.68,1.11
"item315","walking and running",2.93,1.13
"item370","convincing others to buy merchandise/goods or to otherwise change their minds or actions",3.85,1.13
"item314","using your hands to handle, control, or feel objects, tools or controls",3.38,1.14
"item323","use electronic mail",3.58,1.14
"item329","responsibility for the health and safety of others",3.85,1.14
"item300","working in an open vehicle or equipment ",3.33,1.15
"item347","using either control mechanisms or direct physical activity to operate machines or processes",3.32,1.15
"item313","standing",2.75,1.16
"item326","written letters and memos",3.39,1.16
"item332","estimating sizes, distances, and quantities; or determining time, costs, resources, or materials",3.69,1.16
"item297","regular work schedules",3.5,1.17
"item350","using hands and arms in handling, installing, positioning, and moving materials, and manipulating things",3.45,1.18
"item292","repeating the same physical or mental activities over and over, without stopping",3.07,1.19
"item312","sitting",2.52,1.19
"item299","working in a closed vehicle or equipment",2.88,1.2
"item305","close physical proximity to other people",3.34,1.2
"item353","performing physical activities that require considerable use of your arms and legs and moving your whole body",3.11,1.21
"item301","working indoors in environmentally controlled conditions",3.18,1.22
"item303","working outdoors",2.94,1.22
"item355","servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles",3.52,1.22
"item366","performing day-to-day administrative tasks such as maintaining information files and processing paperwork",3.5,1.22
"item302","working indoors in non-controlled environmental conditions ",2.78,1.24
"item307","bending or twisting your body",2.55,1.24
"item294","job structured for you, rather than allowing you to determine tasks, priorities, and goals",3.12,1.26
"item295","pace is determined by the speed of equipment or machinery",2.99,1.26
"item317","wearing common protective or safety equipment ",3.4,1.27
"item322","deal with unpleasant, angry, or discourteous individuals",3.43,1.27
"item310","kneeling, crouching, stooping or crawling",2.57,1.29
"item352","running, maneuvering, navigating, or driving vehicles or mechanized equipment",3.45,1.29
"item311","making repetitive motions",2.87,1.3
"item298","working in cramped work spaces ",2.68,1.31
"item316","working in very hot wor very cold temperatures",2.44,1.31
"item318","wearing specialized protective or safety equipment",3.44,1.31
"item306","working exposed to sounds and noise levels that are distracting or uncomfortable",2.29,1.34
